node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
58 59 0 16.6444 11.5182 -23.5437 16.6839 11.5760 -24.0138 0.1451 0.4752 0.0000 0.0000 205.0000 11.5311 1.0000 
59 60 0 16.6839 11.5760 -24.0138 16.6944 11.6266 -24.5028 0.1451 0.4917 0.0000 0.0000 205.0000 11.7292 1.0000 
60 61 0 16.6944 11.6266 -24.5028 16.7040 11.6706 -24.9656 0.1451 0.4650 0.0000 0.0000 205.0000 11.9173 1.0000 
61 62 0 16.7040 11.6706 -24.9656 16.7007 11.7460 -25.9626 0.1451 0.9999 0.0000 0.0000 205.0000 12.3239 1.0000 
62 63 0 16.7007 11.7460 -25.9626 16.6989 11.7846 -26.4669 0.1451 0.5058 0.0000 0.0000 205.0000 12.5305 1.0000 
63 64 0 16.6989 11.7846 -26.4669 16.6961 11.8246 -26.9689 0.1451 0.5036 0.0000 0.0000 205.0000 12.7369 1.0000 
64 65 0 16.6961 11.8246 -26.9689 16.6902 11.8437 -27.4179 0.1451 0.4495 0.0000 0.0000 205.0000 12.9218 1.0000 
65 66 0 16.6902 11.8437 -27.4179 16.6873 11.8549 -28.4174 0.1451 0.9996 0.0000 0.0000 205.0000 13.3353 1.0000 
66 67 0 16.6873 11.8549 -28.4174 16.6873 11.8549 -28.4230 0.1451 0.0056 0.0000 0.0000 205.0000 13.3376 1.0000 
67 68 0 16.6873 11.8549 -28.4230 16.6897 11.8528 -28.9718 0.1451 0.5488 0.0000 0.0000 205.0000 13.5658 1.0000 
68 69 0 16.6897 11.8528 -28.9718 16.6633 11.8550 -29.4388 0.1451 0.4677 0.0000 0.0000 205.0000 13.7609 1.0000 
69 70 0 16.6633 11.8550 -29.4388 16.6389 11.8708 -29.9576 0.1451 0.5195 0.0000 0.0000 205.0000 13.9784 1.0000 
70 71 0 16.6389 11.8708 -29.9576 16.6613 11.8893 -30.9566 0.1451 0.9995 0.0000 0.0000 205.0000 14.4000 1.0000 
71 72 0 16.6613 11.8893 -30.9566 16.6715 11.8985 -31.3660 0.1451 0.4096 0.0000 0.0000 205.0000 14.5733 1.0000 
72 73 0 16.6715 11.8985 -31.3660 16.6686 11.9080 -31.7676 0.1451 0.4017 0.0000 0.0000 205.0000 14.7437 1.0000 
73 74 0 16.6686 11.9080 -31.7676 16.6580 11.9167 -32.1945 0.1451 0.4272 0.0000 0.0000 205.0000 14.9255 1.0000 
74 75 0 16.6580 11.9167 -32.1945 16.6150 11.9658 -33.1923 0.1451 0.9999 0.0000 0.0000 205.0000 15.3534 1.0000 
75 76 0 16.6150 11.9658 -33.1923 16.6061 11.9723 -33.3622 0.1451 0.1702 0.0000 0.0000 205.0000 15.4265 1.0000 
76 77 0 16.6061 11.9723 -33.3622 16.5675 11.9567 -33.7878 0.1451 0.4277 0.0000 0.0000 205.0000 15.6107 1.0000 
77 78 0 16.5675 11.9567 -33.7878 16.5276 11.9418 -34.2626 0.1451 0.4767 0.0000 0.0000 205.0000 15.8166 1.0000 
78 79 0 16.5276 11.9418 -34.2626 16.4854 11.9159 -35.2581 0.1451 0.9967 0.0000 0.0000 205.0000 16.2512 1.0000 
79 80 0 16.4854 11.9159 -35.2581 16.4836 11.9150 -35.3029 0.1451 0.0449 0.0000 0.0000 205.0000 16.2708 1.0000 
80 81 0 16.4836 11.9150 -35.3029 16.5023 11.9039 -35.7794 0.1451 0.4770 0.0000 0.0000 205.0000 16.4792 1.0000 
81 82 0 16.5023 11.9039 -35.7794 16.5306 11.9152 -36.2349 0.1451 0.4565 0.0000 0.0000 205.0000 16.6793 1.0000 
82 83 0 16.5306 11.9152 -36.2349 16.5634 11.9213 -36.7240 0.1451 0.4903 0.0000 0.0000 205.0000 16.8950 1.0000 
83 84 0 16.5634 11.9213 -36.7240 16.5589 11.8996 -37.7227 0.1451 0.9990 0.0000 0.0000 205.0000 17.3409 1.0000 
84 85 0 16.5589 11.8996 -37.7227 16.5589 11.9088 -38.1309 0.1451 0.4083 0.0000 0.0000 205.0000 17.5225 1.0000 
